cpu_usage,memory_usage,disk_read_iops,disk_write_iops,network_in,network_out,disk_read_latency,disk_write_latency,disk_free_space,packet_loss,network_latency,query_execution_time,active_connections,http_requests_per_sec,backend_latency,label,timestamp
26.36,31GB,222,307,27GB,34GB,4.1,2.89,686GB,0.95,51.89,154.58,263,647,160.65,1,2025-04-18 12:03:16.811021
44.48,22GB,484,74,27GB,39GB,1.97,3.4,646GB,0.16,28.83,111.22,476,1829,338.24,1,2025-04-18 12:03:31.811021
106.93,169GB,4530,3263,384GB,358GB,65.36,91.63,6GB,16.72,933.6,1327.16,3550,23786,4531.09,-1,2025-04-18 12:03:46.811021
46.91,31GB,333,97,15GB,17GB,3.39,2.76,216GB,0.76,43.38,171.79,140,814,189.83,1,2025-04-18 12:04:01.811021
38.16,14GB,219,62,10GB,26GB,1.31,1.26,285GB,0.9,39.35,152.56,222,1132,92.05,1,2025-04-18 12:04:16.811021
111.68,195GB,3394,3875,115GB,289GB,37.89,33.16,2GB,26.99,708.24,1769.7,2018,17702,2199.52,-1,2025-04-18 12:04:31.811021
18.05,22GB,178,84,25GB,22GB,3.58,1.47,719GB,0.24,36.08,151.08,199,1419,289.89,1,2025-04-18 12:04:46.811021
76.2,16GB,471,358,9GB,29GB,3.27,4.79,529GB,0.02,36.97,13.84,219,1410,350.23,1,2025-04-18 12:05:01.811021
53.66,4GB,496,370,19GB,35GB,4.69,2.96,335GB,0.7,53.13,27.59,332,676,194.46,1,2025-04-18 12:05:16.811021
61.91,19GB,214,334,49GB,47GB,2.78,2.5,458GB,0.74,55.08,26.91,423,196,232.12,1,2025-04-18 12:05:31.811021
109.93,207GB,3109,2586,461GB,260GB,40.28,75.39,2GB,18.86,1854.78,1399.43,2054,28338,3914.13,-1,2025-04-18 12:05:46.811021
36.87,7GB,401,437,20GB,32GB,1.7,2.5,311GB,0.84,90.88,150.73,490,1363,174.19,1,2025-04-18 12:06:01.811021
38.82,6GB,51,272,32GB,28GB,1.54,3.09,273GB,0.22,77.4,167.96,125,1434,279.27,1,2025-04-18 12:06:16.811021
41.78,27GB,83,231,24GB,40GB,1.16,3.06,253GB,0.32,20.71,174.22,375,560,274.71,1,2025-04-18 12:06:31.811021
56.0,14GB,368,54,21GB,32GB,4.07,4.18,301GB,0.07,23.93,102.44,20,1607,236.24,1,2025-04-18 12:06:46.811021
60.02,21GB,262,460,9GB,10GB,3.04,2.6,360GB,0.29,95.69,106.37,296,130,167.33,1,2025-04-18 12:07:01.811021
17.81,13GB,311,306,20GB,30GB,3.25,3.27,704GB,0.05,79.14,43.03,123,494,353.3,1,2025-04-18 12:07:16.811021
57.78,27GB,281,478,35GB,25GB,4.04,4.5,770GB,0.22,29.09,118.84,336,1135,214.04,1,2025-04-18 12:07:31.811021
69.15,8GB,238,349,45GB,37GB,2.22,2.44,225GB,0.34,27.51,120.96,258,1309,206.14,1,2025-04-18 12:07:46.811021
70.5,18GB,431,328,37GB,20GB,3.76,1.99,299GB,0.49,22.2,187.86,335,1739,393.8,1,2025-04-18 12:08:01.811021
63.11,28GB,206,465,30GB,14GB,4.82,2.58,717GB,0.36,20.14,75.44,109,1093,195.79,1,2025-04-18 12:08:16.811021
54.88,31GB,228,272,26GB,43GB,4.1,3.1,343GB,0.74,95.33,124.15,187,539,157.96,1,2025-04-18 12:08:31.811021
36.96,13GB,356,134,5GB,24GB,3.54,4.63,198GB,0.72,83.91,167.64,401,1328,340.05,1,2025-04-18 12:08:46.811021
59.66,4GB,389,429,7GB,10GB,1.97,2.63,600GB,0.56,85.44,94.67,178,1270,213.49,1,2025-04-18 12:09:01.811021
38.84,23GB,405,58,10GB,30GB,2.52,4.82,622GB,0.83,59.35,56.74,467,1364,115.91,1,2025-04-18 12:09:16.811021
13.45,14GB,82,349,49GB,39GB,4.61,1.64,386GB,0.26,16.33,176.3,28,136,59.84,1,2025-04-18 12:09:31.811021
66.59,16GB,127,186,47GB,21GB,3.82,2.08,466GB,0.63,72.83,89.24,401,1570,293.7,1,2025-04-18 12:09:46.811021
26.34,28GB,178,269,43GB,7GB,2.95,4.73,548GB,0.46,40.83,23.96,57,1518,344.49,1,2025-04-18 12:10:01.811021
11.28,29GB,263,420,32GB,6GB,2.41,1.91,648GB,0.15,35.02,23.56,116,1721,83.14,1,2025-04-18 12:10:16.811021
35.89,16GB,60,197,31GB,45GB,3.81,3.45,143GB,0.66,67.49,20.83,68,1373,370.82,1,2025-04-18 12:10:31.811021
40.81,30GB,207,92,29GB,17GB,3.12,2.88,647GB,0.75,30.59,111.49,178,1548,77.8,1,2025-04-18 12:10:46.811021
23.95,10GB,248,297,21GB,36GB,1.87,1.02,208GB,0.02,94.88,19.36,140,613,198.98,1,2025-04-18 12:11:01.811021
59.36,12GB,104,372,47GB,47GB,3.83,4.63,650GB,0.66,11.13,140.8,340,985,393.12,1,2025-04-18 12:11:16.811021
41.81,14GB,441,205,35GB,12GB,2.5,3.59,530GB,0.24,58.49,111.42,479,366,390.43,1,2025-04-18 12:11:31.811021
75.22,25GB,139,449,26GB,6GB,3.96,4.48,279GB,0.21,41.96,154.65,248,356,373.8,1,2025-04-18 12:11:46.811021
23.0,6GB,123,421,26GB,49GB,2.73,1.81,468GB,0.08,32.49,136.4,207,1491,149.53,1,2025-04-18 12:12:01.811021
51.15,22GB,431,360,29GB,46GB,4.37,4.75,292GB,0.5,35.09,50.06,71,569,158.51,1,2025-04-18 12:12:16.811021
55.39,4GB,54,300,23GB,29GB,2.16,1.21,569GB,0.94,97.71,34.9,332,953,113.28,1,2025-04-18 12:12:31.811021
75.35,25GB,187,475,49GB,29GB,3.0,4.17,701GB,0.08,82.74,36.86,464,1751,324.52,1,2025-04-18 12:12:46.811021
62.57,24GB,372,307,48GB,5GB,4.85,3.3,247GB,0.77,53.15,194.97,220,1740,371.1,1,2025-04-18 12:13:01.811021
35.15,29GB,248,328,31GB,31GB,4.22,2.75,158GB,0.06,58.09,120.29,368,1251,120.39,1,2025-04-18 12:13:16.811021
46.31,26GB,425,127,21GB,43GB,3.04,1.14,653GB,0.55,69.82,178.24,401,657,278.73,1,2025-04-18 12:13:31.811021
107.94,174GB,2019,3275,112GB,155GB,45.91,45.08,7GB,41.12,594.92,1572.58,4603,29816,2333.14,-1,2025-04-18 12:13:46.811021
44.13,26GB,376,199,33GB,7GB,3.08,3.71,625GB,0.42,63.54,141.72,187,1585,194.33,1,2025-04-18 12:14:01.811021
48.68,14GB,495,357,44GB,10GB,4.35,4.38,620GB,0.7,43.15,196.89,206,368,57.41,1,2025-04-18 12:14:16.811021
31.07,30GB,264,276,40GB,30GB,2.86,3.61,260GB,0.53,80.49,28.58,375,1329,159.1,1,2025-04-18 12:14:31.811021
29.24,28GB,267,438,25GB,44GB,1.43,2.44,592GB,0.81,85.97,109.49,178,394,109.73,1,2025-04-18 12:14:46.811021
48.09,21GB,139,236,48GB,32GB,3.8,2.45,248GB,0.69,57.04,52.24,390,1360,373.51,1,2025-04-18 12:15:01.811021
62.89,24GB,441,66,10GB,27GB,4.21,4.43,223GB,0.46,45.11,51.86,152,679,66.07,1,2025-04-18 12:15:16.811021
55.05,31GB,361,342,40GB,8GB,2.4,1.03,249GB,0.59,31.35,104.33,74,1765,103.21,1,2025-04-18 12:15:31.811021
75.53,20GB,266,177,21GB,24GB,3.09,1.83,662GB,0.97,22.37,196.84,20,1139,338.61,1,2025-04-18 12:15:46.811021
34.16,21GB,280,80,49GB,24GB,3.67,4.7,205GB,0.99,72.63,99.15,156,1258,229.41,1,2025-04-18 12:16:01.811021
108.47,230GB,4085,3886,155GB,174GB,87.95,34.23,5GB,47.81,1605.38,1092.97,2473,29567,4708.14,-1,2025-04-18 12:16:16.811021
73.79,29GB,314,283,11GB,21GB,4.28,3.86,796GB,0.14,62.54,159.05,421,1757,185.86,1,2025-04-18 12:16:31.811021
44.83,27GB,425,209,34GB,31GB,1.33,1.0,576GB,0.11,28.57,137.58,452,582,272.55,1,2025-04-18 12:16:46.811021
79.92,19GB,60,74,45GB,34GB,3.75,4.33,555GB,0.34,96.24,139.62,460,1732,134.46,1,2025-04-18 12:17:01.811021
74.57,5GB,83,236,48GB,42GB,2.55,4.11,398GB,0.04,45.54,132.91,484,1866,135.51,1,2025-04-18 12:17:16.811021
31.97,19GB,331,357,44GB,5GB,4.41,3.29,273GB,0.62,85.91,17.73,215,261,56.73,1,2025-04-18 12:17:31.811021
20.61,9GB,298,400,40GB,47GB,1.42,4.65,646GB,0.14,46.99,110.05,223,904,305.96,1,2025-04-18 12:17:46.811021
78.94,12GB,403,106,26GB,19GB,4.11,4.3,587GB,0.64,73.32,18.66,275,1513,246.15,1,2025-04-18 12:18:01.811021
12.82,5GB,154,380,13GB,24GB,3.66,1.17,237GB,0.56,99.64,17.8,263,1222,308.61,1,2025-04-18 12:18:16.811021
75.58,17GB,490,209,45GB,41GB,4.15,3.66,479GB,0.01,98.78,147.56,349,1275,127.48,1,2025-04-18 12:18:31.811021
34.62,22GB,207,188,18GB,45GB,4.66,1.48,738GB,0.38,93.66,86.06,51,1947,156.07,1,2025-04-18 12:18:46.811021
14.89,20GB,346,128,13GB,17GB,1.22,4.13,405GB,0.92,59.9,46.29,56,300,386.36,1,2025-04-18 12:19:01.811021
77.44,18GB,192,331,16GB,17GB,1.76,4.76,101GB,0.19,24.77,155.12,41,710,386.7,1,2025-04-18 12:19:16.811021
50.29,18GB,402,485,8GB,32GB,1.33,2.06,458GB,0.04,15.92,73.71,467,1597,391.82,1,2025-04-18 12:19:31.811021
22.28,29GB,235,79,41GB,44GB,4.35,2.79,797GB,0.81,19.24,189.89,266,938,223.2,1,2025-04-18 12:19:46.811021
44.88,25GB,213,146,7GB,21GB,1.88,4.45,314GB,0.5,42.18,127.58,461,454,112.68,1,2025-04-18 12:20:01.811021
48.55,29GB,378,160,16GB,41GB,4.9,2.25,160GB,0.52,34.78,20.84,294,1552,196.42,1,2025-04-18 12:20:16.811021
46.26,18GB,428,140,44GB,5GB,4.19,1.09,417GB,0.47,84.36,38.12,288,1453,152.07,1,2025-04-18 12:20:31.811021
35.79,31GB,432,323,28GB,12GB,1.09,1.62,743GB,0.82,12.66,160.66,418,1814,334.91,1,2025-04-18 12:20:46.811021
34.54,11GB,159,344,31GB,20GB,4.03,1.57,118GB,0.82,64.58,155.16,63,1303,202.55,1,2025-04-18 12:21:01.811021
73.43,9GB,88,71,33GB,15GB,1.57,3.89,538GB,0.17,97.03,169.9,312,1301,356.48,1,2025-04-18 12:21:16.811021
46.78,11GB,125,402,23GB,48GB,4.89,2.18,272GB,0.89,59.86,136.97,484,1898,163.48,1,2025-04-18 12:21:31.811021
45.27,31GB,373,327,46GB,13GB,1.66,3.84,776GB,0.49,59.29,141.66,300,1095,253.99,1,2025-04-18 12:21:46.811021
29.57,18GB,252,107,12GB,9GB,3.39,3.87,660GB,0.62,24.61,31.68,462,1377,113.84,1,2025-04-18 12:22:01.811021
73.09,20GB,476,375,20GB,29GB,4.47,2.77,312GB,0.61,54.32,144.31,259,1720,59.64,1,2025-04-18 12:22:16.811021
44.74,22GB,382,111,32GB,41GB,1.36,4.62,608GB,0.61,87.84,39.7,468,856,275.32,1,2025-04-18 12:22:31.811021
63.7,11GB,137,242,45GB,18GB,2.26,4.49,105GB,0.14,71.14,67.76,382,207,289.93,1,2025-04-18 12:22:46.811021
40.98,9GB,275,435,28GB,36GB,4.21,3.54,776GB,0.11,23.64,188.67,337,829,78.38,1,2025-04-18 12:23:01.811021
42.48,28GB,410,363,34GB,43GB,2.05,1.25,238GB,0.97,55.07,173.63,15,1319,51.96,1,2025-04-18 12:23:16.811021
66.99,11GB,407,499,43GB,21GB,4.29,3.02,216GB,0.79,23.15,174.68,88,1582,270.98,1,2025-04-18 12:23:31.811021
69.97,27GB,451,481,18GB,44GB,4.29,2.74,211GB,0.11,44.25,31.09,316,775,148.71,1,2025-04-18 12:23:46.811021
37.56,19GB,67,207,16GB,26GB,1.56,3.11,679GB,0.68,95.86,88.54,226,1192,363.88,1,2025-04-18 12:24:01.811021
40.97,31GB,349,186,35GB,38GB,1.64,1.03,482GB,0.01,58.66,129.81,430,1040,375.11,1,2025-04-18 12:24:16.811021
12.35,18GB,248,111,34GB,42GB,1.5,3.44,601GB,0.76,54.28,87.01,46,761,194.87,1,2025-04-18 12:24:31.811021
70.06,13GB,144,213,26GB,33GB,4.47,1.49,670GB,0.48,99.84,88.9,79,778,99.96,1,2025-04-18 12:24:46.811021
31.54,17GB,230,437,21GB,46GB,3.01,4.53,429GB,0.26,67.1,157.41,355,370,245.75,1,2025-04-18 12:25:01.811021
78.33,31GB,430,481,23GB,45GB,1.96,4.49,578GB,0.39,47.64,114.43,496,1232,236.56,1,2025-04-18 12:25:16.811021
15.98,26GB,497,367,7GB,25GB,1.34,3.75,151GB,0.26,29.94,34.11,351,1899,58.33,1,2025-04-18 12:25:31.811021
78.54,11GB,240,473,17GB,35GB,4.58,4.05,268GB,0.52,98.82,190.68,433,1879,341.6,1,2025-04-18 12:25:46.811021
22.42,9GB,286,206,34GB,33GB,1.11,2.74,271GB,0.07,55.88,122.26,235,847,389.19,1,2025-04-18 12:26:01.811021
31.23,7GB,176,76,22GB,37GB,2.77,2.66,684GB,0.69,26.93,193.13,329,1204,194.44,1,2025-04-18 12:26:16.811021
72.65,11GB,389,345,20GB,48GB,4.83,2.42,310GB,0.23,49.51,156.67,409,530,67.32,1,2025-04-18 12:26:31.811021
62.58,14GB,52,210,46GB,21GB,4.09,4.74,462GB,0.81,96.85,104.86,436,1799,395.63,1,2025-04-18 12:26:46.811021
15.7,23GB,321,196,42GB,16GB,2.76,2.67,564GB,0.79,22.79,76.03,436,261,337.59,1,2025-04-18 12:27:01.811021
70.33,6GB,404,373,32GB,13GB,2.56,4.38,139GB,0.26,35.48,93.1,319,1443,252.41,1,2025-04-18 12:27:16.811021
20.77,19GB,100,297,44GB,14GB,4.48,3.23,168GB,0.59,36.37,130.12,363,1076,78.83,1,2025-04-18 12:27:31.811021
66.67,9GB,71,103,32GB,6GB,1.47,2.75,759GB,0.14,48.91,164.21,135,1865,202.93,1,2025-04-18 12:27:46.811021
60.65,5GB,471,420,42GB,22GB,1.54,4.27,365GB,0.1,92.66,40.59,409,1545,76.88,1,2025-04-18 12:28:01.811021
24.11,14GB,214,274,20GB,26GB,1.23,3.68,117GB,0.21,88.18,163.72,297,1395,283.03,1,2025-04-18 12:28:16.811021
41.5,13GB,247,445,21GB,35GB,2.77,4.33,598GB,0.12,78.33,110.35,211,1716,136.91,1,2025-04-18 12:28:31.811021
49.89,4GB,249,195,45GB,6GB,4.15,3.54,222GB,0.3,29.71,137.56,440,1421,324.45,1,2025-04-18 12:28:46.811021
75.92,6GB,199,367,44GB,14GB,4.76,3.33,684GB,0.98,88.94,187.22,233,272,355.82,1,2025-04-18 12:29:01.811021
57.35,26GB,205,354,5GB,29GB,3.18,1.17,558GB,0.37,71.6,161.11,123,643,378.05,1,2025-04-18 12:29:16.811021
49.6,19GB,473,50,29GB,34GB,3.23,3.0,269GB,0.86,69.37,118.33,148,707,70.87,1,2025-04-18 12:29:31.811021
12.91,20GB,477,427,35GB,49GB,1.66,3.87,467GB,0.6,82.55,164.27,313,1158,173.7,1,2025-04-18 12:29:46.811021
52.21,29GB,470,390,5GB,14GB,2.9,3.22,674GB,0.3,20.76,67.51,115,841,356.14,1,2025-04-18 12:30:01.811021
65.39,15GB,293,264,45GB,17GB,1.22,4.19,645GB,0.43,45.15,152.28,40,1673,178.77,1,2025-04-18 12:30:16.811021
25.04,29GB,386,93,42GB,45GB,3.36,1.98,630GB,0.36,89.5,113.54,105,718,277.18,1,2025-04-18 12:30:31.811021
71.59,25GB,451,289,35GB,24GB,3.88,2.79,184GB,0.67,20.19,105.16,262,1016,246.5,1,2025-04-18 12:30:46.811021
50.37,30GB,315,115,20GB,46GB,1.91,2.51,764GB,0.31,71.89,81.26,167,1709,392.51,1,2025-04-18 12:31:01.811021
26.33,11GB,408,212,32GB,31GB,4.0,1.06,763GB,0.51,83.48,85.25,145,253,82.7,1,2025-04-18 12:31:16.811021
48.09,16GB,487,489,11GB,9GB,1.33,2.19,353GB,0.64,58.69,51.89,354,351,163.76,1,2025-04-18 12:31:31.811021
39.38,11GB,483,242,14GB,36GB,2.29,3.18,518GB,0.88,40.29,151.96,105,844,76.57,1,2025-04-18 12:31:46.811021
76.62,26GB,120,390,10GB,23GB,2.61,1.26,313GB,0.18,61.36,14.34,317,1290,121.56,1,2025-04-18 12:32:01.811021
14.38,26GB,130,405,31GB,33GB,3.75,4.72,641GB,0.04,83.52,109.99,22,1350,89.95,1,2025-04-18 12:32:16.811021
52.94,28GB,497,389,14GB,15GB,2.88,2.15,378GB,0.47,98.58,193.61,230,156,102.6,1,2025-04-18 12:32:31.811021
45.2,26GB,126,177,17GB,12GB,4.97,1.08,148GB,0.26,26.05,197.93,213,615,94.54,1,2025-04-18 12:32:46.811021
20.71,20GB,393,297,41GB,8GB,4.7,3.36,224GB,0.57,29.06,121.88,64,967,128.01,1,2025-04-18 12:33:01.811021
28.51,24GB,389,326,33GB,21GB,2.79,4.5,504GB,0.22,63.17,13.19,88,1594,93.75,1,2025-04-18 12:33:16.811021
46.59,23GB,278,465,17GB,25GB,1.46,4.08,474GB,0.62,25.72,145.82,230,388,273.6,1,2025-04-18 12:33:31.811021
26.32,19GB,206,247,33GB,19GB,4.42,2.13,422GB,0.41,18.75,107.83,126,384,124.21,1,2025-04-18 12:33:46.811021
76.89,17GB,389,414,23GB,29GB,2.39,3.07,453GB,0.87,36.53,128.06,466,155,209.39,1,2025-04-18 12:34:01.811021
14.05,6GB,437,470,33GB,17GB,2.81,2.29,115GB,0.44,71.39,102.55,441,890,362.06,1,2025-04-18 12:34:16.811021
47.75,21GB,239,52,47GB,15GB,4.91,3.16,182GB,0.53,93.59,91.5,257,1226,286.29,1,2025-04-18 12:34:31.811021
25.35,16GB,169,111,11GB,41GB,4.43,2.4,385GB,0.72,97.95,111.54,190,227,91.34,1,2025-04-18 12:34:46.811021
60.9,5GB,335,252,41GB,26GB,3.86,4.27,788GB,0.0,33.05,177.46,382,500,112.82,1,2025-04-18 12:35:01.811021
76.42,23GB,491,396,38GB,17GB,3.12,1.34,510GB,0.82,28.89,145.55,142,285,299.6,1,2025-04-18 12:35:16.811021
37.59,7GB,156,227,8GB,27GB,3.78,3.0,659GB,0.91,56.77,58.21,406,1383,274.13,1,2025-04-18 12:35:31.811021
75.21,13GB,117,463,26GB,8GB,1.3,1.43,150GB,0.44,79.47,97.44,450,1020,220.71,1,2025-04-18 12:35:46.811021
31.66,21GB,484,123,47GB,38GB,4.76,4.02,639GB,0.92,60.88,126.03,21,1604,295.92,1,2025-04-18 12:36:01.811021
34.82,20GB,251,50,6GB,28GB,4.54,2.0,166GB,0.71,81.52,44.07,133,714,96.72,1,2025-04-18 12:36:16.811021
35.97,13GB,252,395,45GB,22GB,2.39,1.06,325GB,0.99,19.9,65.67,42,266,277.88,1,2025-04-18 12:36:31.811021
12.73,8GB,61,142,6GB,41GB,3.62,2.78,155GB,0.57,56.53,130.82,272,1674,207.56,1,2025-04-18 12:36:46.811021
77.36,26GB,179,76,20GB,11GB,2.98,2.29,771GB,0.3,66.13,56.02,470,815,237.07,1,2025-04-18 12:37:01.811021
70.66,9GB,244,337,41GB,38GB,3.44,1.67,443GB,0.22,16.07,168.82,324,193,203.17,1,2025-04-18 12:37:16.811021
67.65,7GB,184,207,46GB,48GB,1.17,4.38,444GB,0.62,96.81,46.65,293,1789,288.75,1,2025-04-18 12:37:31.811021
49.56,16GB,156,489,28GB,27GB,2.64,3.98,550GB,0.23,79.01,99.08,145,1147,255.58,1,2025-04-18 12:37:46.811021
31.34,14GB,198,202,14GB,34GB,4.37,4.45,358GB,0.7,13.14,58.33,303,413,360.15,1,2025-04-18 12:38:01.811021
10.26,25GB,329,82,47GB,34GB,1.14,4.76,534GB,0.61,28.05,134.05,142,1910,110.37,1,2025-04-18 12:38:16.811021
72.58,16GB,178,338,20GB,41GB,3.14,2.55,459GB,0.45,82.74,186.78,434,1350,235.7,1,2025-04-18 12:38:31.811021
21.94,20GB,206,245,25GB,32GB,4.66,2.76,279GB,0.44,62.53,115.01,135,1320,91.52,1,2025-04-18 12:38:46.811021
77.06,14GB,105,85,43GB,40GB,2.78,4.62,197GB,0.01,25.9,199.76,50,252,72.31,1,2025-04-18 12:39:01.811021
77.19,10GB,465,415,19GB,46GB,3.68,1.93,407GB,0.3,46.93,70.89,216,1702,115.42,1,2025-04-18 12:39:16.811021
13.25,19GB,143,247,21GB,14GB,3.3,1.26,437GB,0.0,43.93,59.48,226,212,213.22,1,2025-04-18 12:39:31.811021
18.79,23GB,208,392,24GB,29GB,3.33,1.62,209GB,0.2,41.58,167.71,301,1126,315.33,1,2025-04-18 12:39:46.811021
32.89,23GB,422,155,43GB,17GB,1.51,4.03,483GB,0.68,35.98,160.66,277,1749,165.18,1,2025-04-18 12:40:01.811021
71.4,20GB,151,179,11GB,17GB,3.02,3.67,292GB,0.29,97.91,12.06,425,172,281.0,1,2025-04-18 12:40:16.811021
28.1,23GB,461,60,18GB,46GB,3.42,2.04,190GB,0.56,39.95,35.21,258,1900,190.66,1,2025-04-18 12:40:31.811021
38.73,15GB,270,347,33GB,36GB,3.64,3.26,214GB,0.28,65.36,21.2,76,1173,322.74,1,2025-04-18 12:40:46.811021
107.21,128GB,3466,2735,435GB,460GB,94.39,34.33,3GB,34.26,834.93,2762.34,3973,21953,2057.82,-1,2025-04-18 12:41:01.811021
10.68,29GB,137,284,33GB,46GB,4.57,2.58,733GB,0.51,14.19,60.27,221,1056,94.5,1,2025-04-18 12:41:16.811021
44.85,15GB,57,428,30GB,14GB,3.08,2.71,660GB,0.01,15.16,57.89,450,569,386.1,1,2025-04-18 12:41:31.811021
73.2,31GB,93,483,47GB,49GB,1.16,1.59,661GB,0.13,67.6,55.08,254,1830,315.47,1,2025-04-18 12:41:46.811021
51.32,25GB,275,248,9GB,36GB,2.58,3.27,190GB,0.74,71.07,43.09,255,507,182.98,1,2025-04-18 12:42:01.811021
62.78,6GB,134,372,16GB,5GB,1.46,3.92,175GB,0.07,59.23,176.29,290,102,197.11,1,2025-04-18 12:42:16.811021
72.97,13GB,152,68,7GB,40GB,4.83,4.65,287GB,0.92,39.9,53.43,88,158,283.92,1,2025-04-18 12:42:31.811021
48.54,12GB,84,417,22GB,19GB,1.67,4.41,347GB,0.98,82.09,115.53,230,1726,229.44,1,2025-04-18 12:42:46.811021
37.17,18GB,142,454,37GB,41GB,1.75,4.71,643GB,0.07,39.45,16.39,192,1564,91.55,1,2025-04-18 12:43:01.811021
60.83,22GB,399,305,11GB,48GB,4.04,3.69,450GB,0.02,79.82,53.61,250,1866,69.59,1,2025-04-18 12:43:16.811021
58.09,27GB,338,260,32GB,13GB,2.23,2.85,670GB,0.82,18.99,61.65,233,951,336.91,1,2025-04-18 12:43:31.811021
56.31,19GB,201,97,25GB,6GB,2.01,3.78,696GB,0.98,49.43,25.53,368,1339,357.46,1,2025-04-18 12:43:46.811021
53.8,27GB,234,408,48GB,38GB,1.21,4.37,622GB,0.89,86.54,61.93,220,1569,299.73,1,2025-04-18 12:44:01.811021
38.44,4GB,251,324,41GB,8GB,4.71,3.97,483GB,0.93,70.53,36.94,268,1535,210.04,1,2025-04-18 12:44:16.811021
52.36,5GB,299,110,28GB,46GB,1.79,2.66,195GB,0.08,40.28,145.72,302,248,250.59,1,2025-04-18 12:44:31.811021
16.48,12GB,299,340,12GB,46GB,1.68,1.07,418GB,0.93,16.18,159.52,470,1092,393.51,1,2025-04-18 12:44:46.811021
27.66,20GB,223,490,33GB,39GB,2.51,4.38,563GB,0.76,81.74,167.68,463,1826,104.6,1,2025-04-18 12:45:01.811021
47.82,5GB,400,223,32GB,30GB,2.83,4.48,623GB,0.45,29.15,196.09,116,1103,148.21,1,2025-04-18 12:45:16.811021
42.22,7GB,485,419,20GB,39GB,3.98,2.93,513GB,0.88,23.86,115.91,384,1556,92.41,1,2025-04-18 12:45:31.811021
67.53,17GB,173,218,18GB,24GB,2.86,4.74,600GB,0.67,33.01,56.59,327,1932,50.37,1,2025-04-18 12:45:46.811021
24.65,12GB,443,380,21GB,36GB,4.29,2.86,599GB,0.18,39.93,198.86,361,1082,239.5,1,2025-04-18 12:46:01.811021
43.14,12GB,418,338,37GB,28GB,4.63,3.7,788GB,0.54,13.06,170.46,419,1189,109.12,1,2025-04-18 12:46:16.811021
78.65,27GB,484,234,39GB,25GB,2.15,3.39,190GB,0.72,58.83,147.75,248,222,158.97,1,2025-04-18 12:46:31.811021
38.83,31GB,373,474,17GB,38GB,1.93,2.2,490GB,0.74,92.32,156.23,430,1418,166.69,1,2025-04-18 12:46:46.811021
47.69,10GB,248,432,31GB,20GB,4.08,1.25,507GB,0.51,26.83,192.21,121,1927,213.64,1,2025-04-18 12:47:01.811021
45.42,13GB,393,234,19GB,46GB,1.79,3.89,425GB,0.22,62.38,55.87,222,312,109.61,1,2025-04-18 12:47:16.811021
75.84,20GB,157,241,49GB,8GB,3.64,1.5,694GB,0.09,37.2,132.0,474,209,115.59,1,2025-04-18 12:47:31.811021
31.29,29GB,346,260,33GB,24GB,4.34,4.42,228GB,0.04,42.11,143.63,305,1443,381.1,1,2025-04-18 12:47:46.811021
